        655      0.2143     -0.5513       1.432 
        645      0.2648     -0.6641       1.587 
        635      0.3201     -0.7873       1.773 
        625      0.3805     -0.9219       1.993 
        615      0.4463      -1.069        2.25 
        605      0.5179       -1.23       2.548 
    594.117      0.6027      -1.427       2.955 
    582.353      0.7059      -1.674       3.497 
    570.589       0.824      -1.957       4.129 
    558.823      0.9587      -2.281       4.866 
    547.059       1.112      -2.653        5.72 
    535.294       1.286      -3.076       6.708 
    523.529       1.482      -3.558       7.847 
    511.764       1.704      -4.104       9.154 
        500       1.952       -4.72       10.65 
    488.236        2.23      -5.413       12.36 
     476.47       2.538       -6.19        14.3 
    464.706        2.88      -7.056        16.5 
    452.942       3.256      -8.018       18.98 
    441.176       3.667      -9.079       21.77 
    429.411       4.115      -10.25        24.9 
    417.647       4.599      -11.52       28.38 
    405.883       5.117       -12.9       32.25 
    397.429        5.33      -14.45       41.94 
    392.286       5.734       -15.4       43.34 
    387.142       6.136      -16.36       44.85 
        382       6.534       -17.3       46.46 
    376.857       6.927      -18.24       48.17 
    371.714       7.315      -19.18       49.97 
    366.572       7.695       -20.1       51.88 
    361.429       8.067      -21.01       53.87 
    356.285        8.43      -21.92       55.96 
    351.143       8.782       -22.8       58.14 
        346       9.122      -23.67       60.41 
    340.857       9.448      -24.52       62.77 
    335.715       9.761      -25.35       65.21 
    330.572       10.06      -26.15       67.72 
    325.428       10.34      -26.93       70.32 
    320.285        10.6      -27.67       72.98 
    315.143       10.84      -28.38       75.71 
        310       11.05      -29.06        78.5 
    304.858       11.25       -29.7       81.34 
    299.715       11.42      -30.29       84.23 
    294.571       11.57      -30.84       87.16 
    289.428       11.68      -31.33       90.13 
    284.286       11.77      -31.77       93.11 
    279.142       11.82      -32.15       96.11 
        274       11.85      -32.47       99.12 
    268.858       11.84      -32.72       102.1 
    263.714       11.79       -32.9       105.1 
    258.571        11.7         -33         108 
    253.429       11.58      -33.02       110.9 
    248.285       11.42      -32.95       113.8 
    243.142       11.21      -32.79       116.5 
        238       10.96      -32.54       119.2 
    232.857       10.67      -32.19       121.8 
    227.714       10.34      -31.72       124.2 
    222.572       9.967      -31.16       126.5 
    217.408       9.581      -35.66         162 
    212.223       9.581      -35.73       162.4 
    207.037       9.486      -35.56       162.8 
    201.851       9.299      -35.15       163.1 
    196.666       9.021      -34.49       163.4 
    191.481       8.657      -33.59       163.5 
    186.296       8.211      -32.46       163.5 
    181.111       7.689       -31.1       163.3 
    175.926         7.1      -29.53         163 
     170.74       6.452      -27.74       162.4 
    165.555       5.757      -25.77       161.5 
     160.37       5.026      -23.61       160.4 
    155.185       4.275       -21.3       158.9 
        150       3.519      -18.84         157 
    144.814       2.777      -16.26       154.8 
    139.629       2.071       -13.6       152.2 
    134.444       1.423      -10.87       149.1 
    129.259       0.861       -8.12       145.6 
    124.074      0.4135      -5.376       141.6 
    118.889      0.1143      -2.683       137.2 
    113.704   0.0001492    -0.09144       132.2 
    108.519      0.1123       2.347       126.7 
    103.334      0.4967       4.573       120.7 
    98.1487       1.204        6.52       114.2 
    92.9629       2.292       8.114       107.3 
    87.7776       3.822       9.274       99.84 
    82.5926       5.866       9.907       91.99 
    70.7283       13.11       8.859       67.58 
    52.1856       33.82       -3.05       37.27 
    33.6428       71.28      -34.55        10.8 
    22.0288       91.45      -39.56       3.318 
    17.3432       105.9      -53.79       1.298 
