        635     0.07346     -0.1729      0.3691 
    583.333      0.1915     -0.4359      0.8991 
        550      0.3336     -0.7637        1.64 
    516.667      0.5695      -1.313       2.914 
    483.333      0.9502       -2.21       5.049 
        450       1.544      -3.628       8.529 
    416.667       2.436      -5.789       14.03 
     388.75       3.554      -8.926       23.82 
     366.25       4.993       -12.2       30.16 
     343.75       6.508      -15.74       38.66 
     321.25       8.046      -19.49       49.49 
     298.75       9.528      -23.35       62.72 
     276.25       10.83      -27.08       78.22 
     253.75       11.79      -30.35       95.57 
     231.25       12.16      -32.65       113.9 
        206        12.9      -41.14       162.8 
        178       12.54      -41.33       177.5 
        150       8.769      -32.99       187.1 
        122       3.135      -17.23       182.8 
         94     0.03088       1.274       155.7 
       66.1       9.905       10.52        94.9 
    38.2999        55.4       -16.9       29.18 
    19.7002       107.5       -46.5       4.524 
    8.99987       140.9      -92.68      0.8638 
    1.49998   0.0005092     -0.0728         451 
