        635      0.3204     -0.7878       1.772 
    583.333      0.6968      -1.652       3.449 
        550       1.072      -2.556       5.496 
    516.667       1.608      -3.868       8.589 
    483.333       2.354      -5.727       13.14 
        450       3.355      -8.274       19.65 
    416.667       4.641      -11.63        28.7 
     388.75        6.01      -16.06       44.37 
     366.25       7.719      -20.16          52 
     343.75       9.266      -24.04       61.43 
     321.25       10.55      -27.53       72.48 
     298.75       11.45      -30.39       84.78 
     276.25       11.84      -32.33        97.8 
     253.75       11.59      -33.01       110.8 
     231.25       10.57      -32.05       122.5 
        206       9.453      -35.49       162.8 
        178       7.341      -30.18       163.1 
        150       3.517      -18.83         157 
        122      0.2734      -4.284       139.9 
         94       2.043       7.831       108.7 
       66.1       17.08       7.255       60.07 
    38.2999        59.9      -24.27       16.53 
    19.7002       98.47      -46.39        2.21 
    8.99987       120.9      -81.51      0.3862 
    1.49998    0.004772      -0.186       392.9 
