        635    0.006907     -0.0156     0.03176 
    583.333     0.02356    -0.05175      0.1074 
        550     0.04958     -0.1095      0.2374 
    516.667      0.1026      -0.228      0.5077 
    483.333      0.2072     -0.4633       1.055 
        450      0.4068     -0.9155        2.13 
    416.667      0.7729      -1.753       4.178 
     388.75       1.332      -3.164       8.136 
     366.25       2.114      -4.866       11.55 
     343.75        3.08      -7.007        16.7 
     321.25       4.264      -9.695       24.06 
     298.75       5.688      -13.03        34.2 
     276.25       7.343      -17.05       47.68 
     253.75       9.156      -21.69       64.95 
     231.25       10.95      -26.68       86.16 
        206       14.13      -39.53         137 
        178       17.01      -47.52       169.7 
        150       15.67      -46.79       204.7 
        122       9.834      -35.18       228.5 
         94       1.977      -13.17       221.9 
       66.1       2.957       9.548       155.4 
    38.2999       46.99      -5.819       55.47 
    19.7002       118.4      -44.04       10.14 
    8.99987       170.6      -107.9       2.103 
    1.49998    0.003831      0.2531       534.3 
