410.0000 192.58 91.9817
400.0000 189.871 90.5967
390.0000 172.316 80.2442
380.0000 171.133 79.8735
370.0000 169.955 79.5038
360.0000 168.782 79.1354
350.0000 167.614 78.768
340.0000 166.451 78.4018
330.0000 165.294 78.0367
320.0000 164.141 77.6728
310.0000 162.994 77.31
300.0000 161.852 76.9483
290.0000 160.715 76.5877
280.0000 159.583 76.2283
270.0000 158.456 75.87
260.0000 157.334 75.5128
250.0000 156.217 75.1568
240.0000 155.105 74.8018
230.0000 153.998 74.448
220.0000 152.896 74.0953
210.0000 127.215 65.7309
200.0000 127.442 65.8618
190.0000 127.67 65.9929
180.0000 127.898 66.1241
170.0000 128.126 66.2555
160.0000 128.354 66.387
150.0000 128.583 66.5187
140.0000 128.812 66.6506
130.0000 129.041 66.7826
120.0000 129.271 66.9148
110.0000 129.5 67.0471
100.0000 129.73 67.1797
90.0000 129.96 67.3124
80.0000 130.191 67.4452
70.0000 130.422 67.5782
60.0000 130.653 67.7114
50.0000 130.884 67.8447
40.0000 131.115 67.9782
30.0000 131.347 68.1119
20.0000 75.284 44.109
10.0000 51.9653 26.624
