    419.688     1.73363    -3.65801     8.48636 
    418.461     1.82999    -3.86147     8.96631 
    416.667     1.98059    -4.17983     9.71705 
    414.872     2.14322    -4.52395     1.05286 
    413.646     2.26166    -4.77465       1.112 
    413.021     2.32454    -4.90758     1.14344 
    411.795     2.45275    -5.17852     1.20764 
        410     2.65299    -5.60213       1.308 
    408.205      2.8691    -6.05959     1.41642 
    406.979     3.02639    -6.39259     1.49539 
    406.354     3.10984    -6.56906     1.53733 
    405.127     3.27989    -6.92857     1.62294 
    403.333     3.54531    -7.49035     1.75672 
    401.539     3.83155    -8.09664     1.90115 
    400.312     4.03978    -8.53777      2.0063 
    399.719     3.96455    -8.96884      2.4674 
    398.615     4.23891    -9.53029     2.56069 
        397     4.65949    -1.03905     2.70757 
    395.385     5.10345    -1.12979     2.86734 
    394.281     5.42071    -1.19456     2.98428 
    393.719     5.58719    -1.22851     3.04653 
    392.616     5.92268    -1.29692     3.17369 
        391     6.43699    -1.40183     3.37265 
    389.385     6.98011    -1.51263     3.58766 
    388.282     7.36846    -1.59183     3.74423 
    387.719     7.57233    -1.63335     3.82729 
    386.616     7.98338    -1.71707     3.99648 
        385     8.61407    -1.84571     4.26033 
    383.384     9.28089    -1.98188     4.54444 
    382.281      9.7582    -2.07941     4.75076 
    381.718     1.00089    -2.13061     4.86004 
    380.615     1.05148     -2.2339     5.08221 
        379     1.12918     -2.3927     5.42768 
    377.384     1.21144    -2.56091     5.79843 
    376.281     1.27038    -2.68145     6.06696 
    375.719     1.30137    -2.74479     6.20903 
    374.615     1.36391    -2.87277     6.49767 
        373     1.46009    -3.06971     6.94569 
    371.385     1.56201    -3.27854     7.42552 
    370.281     1.63511    -3.42833     7.77249 
    369.719     1.67355    -3.50709     7.95588 
    368.616      1.7512    -3.66629     8.32816 
        367     1.87069    -3.91146     8.90521 
    365.385     1.99743    -4.17165     9.52229 
    364.282     2.08839    -4.35838     9.96795 
    363.719     2.13624    -4.45654     1.02032 
    362.616     2.23293    -4.65491     1.06804 
        361     2.38179    -4.96079     1.14196 
    359.384     2.53978    -5.28585     1.22095 
    358.281     2.65322     -5.5194     1.27796 
    357.718     2.71291    -5.64225     1.30805 
    356.615     2.83356     -5.8905     1.36903 
        355     3.01936    -6.27311     1.46337 
    353.384     3.21664     -6.6795     1.56404 
    352.281     3.35831    -6.97133     1.63662 
    351.719     3.43287    -7.12491     1.67491 
    350.615     3.58358    -7.43554     1.75251 
        349     3.81574    -7.91433     1.87248 
    347.385     4.06227    -8.42292      2.0004 
    346.281     4.23933    -8.78817     2.09255 
    345.719     4.33252    -8.98041     2.14115 
    344.616      4.5209    -9.36921     2.23961 
        343     4.81108    -9.96849     2.39173 
    341.385     5.11922    -1.06051      2.5538 
    340.282     5.34053    -1.10622      2.6705 
    339.719     5.45701    -1.13026       2.732 
    338.616     5.69245    -1.17886     2.85652 
        337     6.05509    -1.25381     3.04887 
    335.384     6.44014    -1.33349     3.25378 
    334.281     6.71666    -1.39074      3.4013 
    333.718     6.86218    -1.42086     3.47903 
    332.615      7.1563    -1.48173     3.63634 
        331     7.60926    -1.57552     3.87915 
