 1 1  225.30
 2 2  241.10
 3 3  232.10
 4 4   80.07
 5 5   77.43
 6 6   80.74
 1 2   73.85
 1 3   73.97
 1 4   -0.33
 1 5    0.11
 1 6    4.74
 2 3   74.41
 2 4   -2.42
 2 5    0.20
 2 6    3.52
 3 4   -1.60
 3 5    0.66
 3 6    0.89
 4 5    1.95
 4 6   -0.43
 5 6   -1.32
