          0   298.000     0.000   122.244    77.550    12.791     0.703    11.844     0.244      0.000      0.000	 -0.14562   -0.08158   -0.24251
          4   389.636     0.056   120.655    76.444    12.827     0.630    11.962     0.235      0.000      0.000	 -0.14570   -0.08164   -0.24419
          8   481.273     0.158   119.385    75.417    12.860     0.596    12.044     0.219      0.000      0.000	 -0.14583   -0.08175   -0.24554
         12   565.424     0.260   118.276    74.488    12.891     0.594    12.098     0.198      0.000      0.000	 -0.14597   -0.08188   -0.24673
         16   627.119     0.365   117.677    73.860    12.911     0.612    12.117     0.182      0.000      0.000	 -0.14611   -0.08201   -0.24738
         20   688.814     0.479   117.134    73.245    12.931     0.642    12.124     0.166      0.000      0.000	 -0.14627   -0.08216   -0.24797
         24   750.508     0.593   116.591    72.630    12.952     0.680    12.124     0.149      0.000      0.000	 -0.14644   -0.08232   -0.24856
         28   812.203     0.724   116.173    72.045    12.972     0.725    12.113     0.134      0.000      0.000	 -0.14663   -0.08250   -0.24902
         32   873.898     0.857   115.766    71.463    12.992     0.776    12.096     0.120      0.000      0.000	 -0.14683   -0.08270   -0.24947
         36   935.593     0.991   115.358    70.881    13.012     0.831    12.074     0.107      0.000      0.000	 -0.14703   -0.08290   -0.24992
         40   997.288     1.124   114.951    70.298    13.034     0.890    12.048     0.096      0.000      0.000	 -0.14723   -0.08311   -0.25037
         44  1058.983     1.257   114.541    69.714    13.056     0.952    12.018     0.085      0.000      0.000	 -0.14744   -0.08333   -0.25082
         48  1120.678     1.390   114.132    69.129    13.078     1.018    11.985     0.076      0.000      0.000	 -0.14764   -0.08357   -0.25128
         52  1182.373     1.523   113.722    68.545    13.102     1.086    11.949     0.068      0.000      0.000	 -0.14785   -0.08381   -0.25174
         56  1244.068     1.656   113.312    67.959    13.126     1.156    11.910     0.060      0.000      0.000	 -0.14806   -0.08406   -0.25219
         60  1305.763     1.789   112.901    67.373    13.151     1.228    11.870     0.054      0.000      0.000	 -0.14828   -0.08433   -0.25265
         64  1367.458     1.922   112.490    66.786    13.177     1.301    11.827     0.048      0.000      0.000	 -0.14849   -0.08460   -0.25311
         68  1429.153     2.055   112.078    66.199    13.203     1.376    11.783     0.043      0.000      0.000	 -0.14871   -0.08489   -0.25357
         72  1468.485     2.188   112.146    65.909    13.213     1.410    11.760     0.043      0.000      0.000	 -0.14894   -0.08513   -0.25350
         76  1485.455     2.321   112.692    65.915    13.204     1.400    11.757     0.047      0.000      0.000	 -0.14917   -0.08532   -0.25288
         80  1502.424     2.454   113.238    65.922    13.196     1.391    11.753     0.052      0.000      0.000	 -0.14939   -0.08551   -0.25225
         84  1519.394     2.588   113.781    65.929    13.188     1.383    11.749     0.056      0.000      0.000	 -0.14960   -0.08571   -0.25162
         88  1536.364     2.721   114.319    65.934    13.180     1.375    11.744     0.061      0.000      0.000	 -0.14981   -0.08590   -0.25099
         92  1553.333     2.854   114.854    65.940    13.172     1.367    11.739     0.066      0.000      0.000	 -0.15001   -0.08609   -0.25035
         96  1570.303     2.987   115.387    65.946    13.163     1.360    11.733     0.071      0.000      0.000	 -0.15020   -0.08629   -0.24971
        100  1587.273     3.120   115.917    65.951    13.155     1.353    11.726     0.077      0.000      0.000	 -0.15038   -0.08649   -0.24906
        104  1604.242     3.253   116.445    65.956    13.147     1.346    11.719     0.082      0.000      0.000	 -0.15056   -0.08668   -0.24841
        108  1621.212     3.386   116.969    65.961    13.139     1.340    11.711     0.088      0.000      0.000	 -0.15073   -0.08688   -0.24775
        112  1638.182     3.519   117.492    65.966    13.130     1.334    11.702     0.094      0.000      0.000	 -0.15089   -0.08708   -0.24709
        116  1655.152     3.652   118.012    65.970    13.122     1.329    11.693     0.100      0.000      0.000	 -0.15105   -0.08728   -0.24642
        120  1670.000     3.785   118.575    66.003    13.112     1.321    11.685     0.107      0.000      0.000	 -0.15120   -0.08748   -0.24570
        124  1676.364     3.918   119.313    66.148    13.096     1.300    11.679     0.116      0.000      0.000	 -0.15132   -0.08765   -0.24476
        128  1683.636     4.051   120.029    66.280    13.080     1.283    11.672     0.126      0.000      0.000	 -0.15143   -0.08782   -0.24384
        132  1690.909     4.184   120.742    66.413    13.065     1.266    11.663     0.136      0.000      0.000	 -0.15154   -0.08799   -0.24292
        136  1698.182     4.317   121.452    66.545    13.050     1.250    11.653     0.146      0.000      0.000	 -0.15163   -0.08816   -0.24199
        140  1705.455     4.450   122.160    66.677    13.034     1.236    11.641     0.157      0.000      0.000	 -0.15172   -0.08833   -0.24106
        144  1712.727     4.583   122.864    66.809    13.019     1.223    11.628     0.168      0.000      0.000	 -0.15180   -0.08851   -0.24012
        148  1720.000     4.716   123.567    66.940    13.004     1.211    11.614     0.179      0.000      0.000	 -0.15187   -0.08868   -0.23919
        152  1727.273     4.849   124.267    67.072    12.989     1.201    11.599     0.190      0.000      0.000	 -0.15194   -0.08885   -0.23824
        156  1734.545     4.982   124.964    67.203    12.974     1.191    11.582     0.201      0.000      0.000	 -0.15200   -0.08902   -0.23730
        160  1741.818     5.115   125.659    67.334    12.960     1.183    11.564     0.213      0.000      0.000	 -0.15205   -0.08919   -0.23636
        164  1749.091     5.248   126.352    67.464    12.945     1.176    11.545     0.224      0.000      0.000	 -0.15209   -0.08937   -0.23541
        168  1756.364     5.381   127.042    67.595    12.930     1.169    11.525     0.236      0.000      0.000	 -0.15213   -0.08954   -0.23446
        172  1763.152     5.514   127.741    67.732    12.916     1.164    11.504     0.248      0.000      0.000	 -0.15216   -0.08971   -0.23350
        176  1769.455     5.647   128.447    67.875    12.901     1.160    11.481     0.260      0.000      0.000	 -0.15218   -0.08988   -0.23252
        180  1775.758     5.780   129.150    68.017    12.886     1.156    11.458     0.271      0.000      0.000	 -0.15220   -0.09005   -0.23154
        184  1782.061     5.913   129.852    68.160    12.871     1.154    11.434     0.283      0.000      0.000	 -0.15221   -0.09021   -0.23056
        188  1788.364     6.046   130.552    68.303    12.856     1.153    11.408     0.295      0.000      0.000	 -0.15221   -0.09038   -0.22958
        192  1794.667     6.179   131.249    68.445    12.842     1.153    11.382     0.307      0.000      0.000	 -0.15221   -0.09055   -0.22859
        196  1800.970     6.313   131.945    68.587    12.827     1.154    11.355     0.318      0.000      0.000	 -0.15221   -0.09072   -0.22761
        200  1807.273     6.446   132.639    68.729    12.813     1.156    11.328     0.329      0.000      0.000	 -0.15220   -0.09089   -0.22663
        204  1813.576     6.579   133.331    68.870    12.799     1.159    11.299     0.340      0.000      0.000	 -0.15218   -0.09106   -0.22564
        208  1819.879     6.712   134.021    69.012    12.784     1.163    11.270     0.351      0.000      0.000	 -0.15216   -0.09123   -0.22465
        212  1826.182     6.845   134.709    69.153    12.770     1.168    11.241     0.362      0.000      0.000	 -0.15214   -0.09140   -0.22367
        216  1832.485     6.978   135.396    69.294    12.757     1.173    11.210     0.373      0.000      0.000	 -0.15211   -0.09156   -0.22268
        220  1838.000     7.111   136.098    69.446    12.742     1.180    11.179     0.383      0.000      0.000	 -0.15207   -0.09173   -0.22167
        224  1843.091     7.248   136.830    69.610    12.727     1.187    11.146     0.394      0.000      0.000	 -0.15202   -0.09190   -0.22062
        228  1848.909     7.385   137.544    69.763    12.713     1.196    11.113     0.405      0.000      0.000	 -0.15198   -0.09207   -0.21959
        232  1854.727     7.522   138.256    69.916    12.699     1.205    11.079     0.415      0.000      0.000	 -0.15193   -0.09224   -0.21856
        236  1860.545     7.658   138.966    70.069    12.685     1.215    11.045     0.425      0.000      0.000	 -0.15187   -0.09241   -0.21754
        240  1866.364     7.795   139.674    70.222    12.671     1.226    11.011     0.434      0.000      0.000	 -0.15181   -0.09258   -0.21651
        244  1872.182     7.932   140.381    70.374    12.658     1.237    10.976     0.444      0.000      0.000	 -0.15175   -0.09275   -0.21548
        248  1878.000     8.069   141.087    70.527    12.644     1.249    10.942     0.453      0.000      0.000	 -0.15169   -0.09292   -0.21445
        252  1883.818     8.205   141.791    70.679    12.631     1.262    10.906     0.462      0.000      0.000	 -0.15162   -0.09309   -0.21342
        256  1889.636     8.342   142.493    70.831    12.618     1.275    10.871     0.471      0.000      0.000	 -0.15155   -0.09325   -0.21240
        260  1895.455     8.479   143.194    70.983    12.604     1.289    10.836     0.480      0.000      0.000	 -0.15147   -0.09342   -0.21137
        264  1901.273     8.616   143.893    71.135    12.592     1.303    10.800     0.488      0.000      0.000	 -0.15139   -0.09359   -0.21035
        268  1907.091     8.753   144.597    71.288    12.579     1.318    10.764     0.497      0.000      0.000	 -0.15131   -0.09376   -0.20931
        272  1912.600     8.891   145.308    71.445    12.566     1.333    10.727     0.505      0.000      0.000	 -0.15122   -0.09393   -0.20827
        276  1917.800     9.029   146.023    71.607    12.553     1.349    10.690     0.513      0.000      0.000	 -0.15113   -0.09410   -0.20723
        280  1923.000     9.167   146.737    71.769    12.540     1.365    10.654     0.521      0.000      0.000	 -0.15103   -0.09426   -0.20618
        284  1928.200     9.305   147.450    71.930    12.527     1.382    10.616     0.529      0.000      0.000	 -0.15094   -0.09443   -0.20514
        288  1933.400     9.443   148.162    72.091    12.515     1.399    10.579     0.537      0.000      0.000	 -0.15084   -0.09460   -0.20409
        292  1938.600     9.582   148.872    72.252    12.502     1.416    10.542     0.544      0.000      0.000	 -0.15073   -0.09476   -0.20305
        296  1943.800     9.720   149.581    72.413    12.490     1.433    10.505     0.551      0.000      0.000	 -0.15063   -0.09493   -0.20201
        300  1949.000     9.858   150.289    72.573    12.478     1.451    10.468     0.559      0.000      0.000	 -0.15052   -0.09509   -0.20097
        304  1954.200     9.996   150.995    72.734    12.466     1.469    10.432     0.566      0.000      0.000	 -0.15041   -0.09526   -0.19994
        308  1959.400    10.134   151.701    72.894    12.455     1.487    10.395     0.573      0.000      0.000	 -0.15030   -0.09543   -0.19890
        312  1964.600    10.272   152.409    73.056    12.443     1.506    10.358     0.579      0.000      0.000	 -0.15019   -0.09559   -0.19787
        316  1969.800    10.412   153.119    73.218    12.431     1.524    10.321     0.586      0.000      0.000	 -0.15007   -0.09576   -0.19682
        320  1975.000    10.551   153.829    73.380    12.420     1.543    10.284     0.593      0.000      0.000	 -0.14995   -0.09592   -0.19578
        324  1979.880    10.690   154.543    73.546    12.409     1.562    10.247     0.600      0.000      0.000	 -0.14983   -0.09609   -0.19474
        328  1984.760    10.830   155.257    73.712    12.398     1.582    10.210     0.606      0.000      0.000	 -0.14970   -0.09625   -0.19370
        332  1989.640    10.969   155.970    73.878    12.387     1.601    10.173     0.613      0.000      0.000	 -0.14957   -0.09641   -0.19265
        336  1994.520    11.108   156.681    74.044    12.376     1.621    10.136     0.619      0.000      0.000	 -0.14945   -0.09658   -0.19162
        340  1999.400    11.248   157.392    74.210    12.365     1.640    10.100     0.625      0.000      0.000	 -0.14932   -0.09674   -0.19058
        344  2004.280    11.387   158.102    74.375    12.354     1.660    10.063     0.631      0.000      0.000	 -0.14918   -0.09690   -0.18954
        348  2009.160    11.526   158.810    74.540    12.344     1.680    10.027     0.637      0.000      0.000	 -0.14905   -0.09707   -0.18851
        352  2014.040    11.666   159.518    74.706    12.334     1.700     9.991     0.643      0.000      0.000	 -0.14892   -0.09723   -0.18748
        356  2018.920    11.805   160.226    74.871    12.324     1.719     9.955     0.649      0.000      0.000	 -0.14878   -0.09739   -0.18645
        360  2023.800    11.946   160.939    75.038    12.314     1.739     9.919     0.655      0.000      0.000	 -0.14864   -0.09755   -0.18541
        364  2028.680    12.087   161.652    75.205    12.304     1.760     9.883     0.661      0.000      0.000	 -0.14850   -0.09772   -0.18438
        368  2033.560    12.227   162.363    75.372    12.294     1.780     9.848     0.667      0.000      0.000	 -0.14836   -0.09788   -0.18335
        372  2037.980    12.368   163.082    75.545    12.285     1.800     9.812     0.673      0.000      0.000	 -0.14821   -0.09804   -0.18231
        376  2041.939    12.508   163.810    75.723    12.275     1.821     9.776     0.678      0.000      0.000	 -0.14806   -0.09820   -0.18127
        380  2045.899    12.649   164.537    75.902    12.266     1.842     9.740     0.684      0.000      0.000	 -0.14791   -0.09835   -0.18022
        384  2049.859    12.790   165.263    76.080    12.256     1.862     9.704     0.690      0.000      0.000	 -0.14776   -0.09851   -0.17918
        388  2053.818    12.930   165.989    76.258    12.247     1.883     9.669     0.695      0.000      0.000	 -0.14761   -0.09867   -0.17815
        392  2057.778    13.071   166.713    76.436    12.238     1.904     9.634     0.701      0.000      0.000	 -0.14745   -0.09882   -0.17711
        396  2061.737    13.211   167.437    76.614    12.229     1.925     9.599     0.706      0.000      0.000	 -0.14730   -0.09898   -0.17608
        400  2065.697    13.352   168.161    76.793    12.221     1.945     9.564     0.711      0.000      0.000	 -0.14714   -0.09913   -0.17505
        404  2069.657    13.502   168.938    76.986    12.212     1.968     9.527     0.717      0.000      0.000	 -0.14697   -0.09930   -0.17395
        408  2073.616    13.652   169.711    77.179    12.203     1.990     9.491     0.723      0.000      0.000	 -0.14681   -0.09946   -0.17285
