          0   298.000     0.000   123.495    79.018    13.859     0.881    12.954     0.023      0.000      0.000	 -0.15910   -0.07090   -0.27669
          4   389.636     0.056   122.097    77.980    13.971     0.947    13.014     0.010      0.000      0.000	 -0.15976   -0.07057   -0.28064
          8   481.273     0.158   121.001    77.033    14.076     1.019    13.053     0.004      0.000      0.000	 -0.16039   -0.07024   -0.28423
         12   565.424     0.260   120.049    76.179    14.174     1.096    13.078     0.001      0.000      0.000	 -0.16097   -0.06993   -0.28750
         16   627.119     0.365   119.550    75.613    14.239     1.152    13.087     0.000      0.000      0.000	 -0.16138   -0.06971   -0.28963
         20   688.814     0.479   119.104    75.062    14.303     1.210    13.093     0.000      0.000      0.000	 -0.16178   -0.06948   -0.29169
         24   750.508     0.593   118.659    74.512    14.368     1.273    13.095     0.001      0.000      0.000	 -0.16219   -0.06925   -0.29378
         28   812.203     0.724   118.329    73.996    14.428     1.335    13.092     0.001      0.000      0.000	 -0.16258   -0.06902   -0.29570
         32   873.898     0.857   118.011    73.483    14.489     1.400    13.087     0.002      0.000      0.000	 -0.16298   -0.06879   -0.29762
         36   935.593     0.991   117.693    72.970    14.552     1.468    13.081     0.003      0.000      0.000	 -0.16338   -0.06856   -0.29955
         40   997.288     1.124   117.375    72.458    14.615     1.539    13.072     0.005      0.000      0.000	 -0.16378   -0.06832   -0.30150
         44  1058.983     1.257   117.055    71.945    14.680     1.612    13.062     0.006      0.000      0.000	 -0.16418   -0.06807   -0.30346
         48  1120.678     1.390   116.736    71.431    14.747     1.687    13.051     0.008      0.000      0.000	 -0.16459   -0.06783   -0.30545
         52  1182.373     1.523   116.416    70.918    14.814     1.765    13.039     0.010      0.000      0.000	 -0.16500   -0.06757   -0.30745
         56  1244.068     1.656   116.097    70.405    14.883     1.845    13.027     0.011      0.000      0.000	 -0.16541   -0.06732   -0.30946
         60  1305.763     1.789   115.777    69.892    14.953     1.926    13.013     0.013      0.000      0.000	 -0.16583   -0.06706   -0.31149
         64  1367.458     1.922   115.457    69.379    15.024     2.010    12.999     0.015      0.000      0.000	 -0.16625   -0.06679   -0.31355
         68  1429.153     2.055   115.137    68.866    15.097     2.095    12.985     0.017      0.000      0.000	 -0.16668   -0.06653   -0.31561
         72  1468.485     2.188   115.247    68.632    15.124     2.138    12.969     0.017      0.000      0.000	 -0.16689   -0.06637   -0.31638
         76  1485.455     2.321   115.786    68.678    15.105     2.139    12.952     0.014      0.000      0.000	 -0.16690   -0.06633   -0.31583
         80  1502.424     2.454   116.327    68.724    15.086     2.140    12.934     0.012      0.000      0.000	 -0.16690   -0.06629   -0.31527
         84  1519.394     2.588   116.868    68.771    15.067     2.142    12.916     0.010      0.000      0.000	 -0.16690   -0.06625   -0.31473
         88  1536.364     2.721   117.408    68.816    15.049     2.143    12.898     0.008      0.000      0.000	 -0.16690   -0.06620   -0.31418
         92  1553.333     2.854   117.947    68.862    15.030     2.145    12.880     0.006      0.000      0.000	 -0.16690   -0.06616   -0.31364
         96  1570.303     2.987   118.486    68.908    15.012     2.147    12.861     0.004      0.000      0.000	 -0.16690   -0.06612   -0.31311
        100  1587.273     3.120   119.026    68.954    14.995     2.150    12.842     0.003      0.000      0.000	 -0.16691   -0.06608   -0.31257
        104  1604.242     3.253   119.565    68.999    14.977     2.152    12.823     0.002      0.000      0.000	 -0.16691   -0.06604   -0.31204
        108  1621.212     3.386   120.104    69.045    14.960     2.155    12.804     0.001      0.000      0.000	 -0.16691   -0.06600   -0.31152
        112  1638.182     3.519   120.643    69.091    14.943     2.158    12.784     0.001      0.000      0.000	 -0.16691   -0.06596   -0.31099
        116  1655.152     3.652   121.183    69.137    14.926     2.161    12.765     0.000      0.000      0.000	 -0.16691   -0.06592   -0.31047
        120  1670.000     3.785   121.763    69.209    14.905     2.160    12.745     0.000      0.000      0.000	 -0.16690   -0.06589   -0.30983
        124  1676.364     3.918   122.506    69.388    14.869     2.144    12.724     0.000      0.000      0.000	 -0.16680   -0.06590   -0.30872
        128  1683.636     4.051   123.232    69.555    14.834     2.130    12.704     0.001      0.000      0.000	 -0.16671   -0.06591   -0.30767
        132  1690.909     4.184   123.958    69.722    14.801     2.116    12.683     0.002      0.000      0.000	 -0.16663   -0.06592   -0.30663
        136  1698.182     4.317   124.684    69.889    14.768     2.102    12.662     0.003      0.000      0.000	 -0.16654   -0.06593   -0.30560
        140  1705.455     4.450   125.410    70.056    14.735     2.089    12.641     0.005      0.000      0.000	 -0.16646   -0.06594   -0.30458
        144  1712.727     4.583   126.136    70.223    14.703     2.076    12.620     0.007      0.000      0.000	 -0.16637   -0.06595   -0.30357
        148  1720.000     4.716   126.861    70.390    14.672     2.064    12.598     0.010      0.000      0.000	 -0.16629   -0.06596   -0.30256
        152  1727.273     4.849   127.587    70.557    14.641     2.051    12.576     0.013      0.000      0.000	 -0.16621   -0.06597   -0.30156
        156  1734.545     4.982   128.313    70.724    14.611     2.040    12.555     0.017      0.000      0.000	 -0.16613   -0.06598   -0.30057
        160  1741.818     5.115   129.039    70.891    14.581     2.028    12.532     0.021      0.000      0.000	 -0.16605   -0.06599   -0.29959
        164  1749.091     5.248   129.765    71.058    14.552     2.017    12.510     0.025      0.000      0.000	 -0.16597   -0.06600   -0.29861
        168  1756.364     5.381   130.491    71.225    14.523     2.006    12.488     0.030      0.000      0.000	 -0.16589   -0.06601   -0.29765
        172  1763.152     5.514   131.226    71.398    14.494     1.994    12.465     0.035      0.000      0.000	 -0.16580   -0.06602   -0.29666
        176  1769.455     5.647   131.971    71.577    14.464     1.982    12.442     0.040      0.000      0.000	 -0.16572   -0.06603   -0.29566
        180  1775.758     5.780   132.715    71.756    14.435     1.971    12.419     0.046      0.000      0.000	 -0.16563   -0.06605   -0.29467
        184  1782.061     5.913   133.460    71.936    14.407     1.959    12.396     0.052      0.000      0.000	 -0.16554   -0.06606   -0.29368
        188  1788.364     6.046   134.204    72.115    14.379     1.948    12.372     0.059      0.000      0.000	 -0.16546   -0.06608   -0.29270
        192  1794.667     6.179   134.949    72.294    14.352     1.938    12.348     0.066      0.000      0.000	 -0.16538   -0.06609   -0.29173
        196  1800.970     6.313   135.693    72.473    14.325     1.927    12.324     0.073      0.000      0.000	 -0.16529   -0.06610   -0.29077
        200  1807.273     6.446   136.438    72.652    14.298     1.917    12.300     0.081      0.000      0.000	 -0.16521   -0.06612   -0.28982
        204  1813.576     6.579   137.183    72.832    14.273     1.907    12.276     0.089      0.000      0.000	 -0.16513   -0.06613   -0.28887
        208  1819.879     6.712   137.927    73.011    14.247     1.898    12.252     0.097      0.000      0.000	 -0.16505   -0.06614   -0.28793
        212  1826.182     6.845   138.672    73.190    14.222     1.889    12.227     0.106      0.000      0.000	 -0.16497   -0.06616   -0.28700
        216  1832.485     6.978   139.416    73.369    14.197     1.880    12.203     0.115      0.000      0.000	 -0.16488   -0.06617   -0.28607
        220  1838.000     7.111   140.178    73.559    14.172     1.870    12.178     0.124      0.000      0.000	 -0.16480   -0.06619   -0.28511
        224  1843.091     7.248   140.972    73.761    14.146     1.859    12.152     0.134      0.000      0.000	 -0.16471   -0.06621   -0.28411
