          0           0           0	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253019   -0.144407
          0           0        22.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804838  -0.0253017   -0.144408
          0           0          45	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253011   -0.144408
          0           0        67.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804838  -0.0253017   -0.144408
          0           0          90	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253019   -0.144407
          0        22.5           0	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804843   -0.025302   -0.144409
          0        22.5        22.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804838  -0.0253019   -0.144407
          0        22.5          45	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253014   -0.144408
          0        22.5        67.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804838  -0.0253019   -0.144407
          0        22.5          90	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804843   -0.025302   -0.144409
          0          45           0	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253011   -0.144408
          0          45        22.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253012   -0.144408
          0          45          45	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253015   -0.144407
          0          45        67.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253012   -0.144408
          0          45          90	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804833  -0.0253011   -0.144408
          0        67.5           0	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804843   -0.025302   -0.144409
          0        67.5        22.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804843  -0.0253019   -0.144408
          0        67.5          45	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804848  -0.0253025   -0.144409
          0        67.5        67.5	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804843  -0.0253019   -0.144408
          0        67.5          90	    0.06937     0.05001     0.00121     0.01816           0           0	 -0.0804843   -0.025302   -0.144409
