          0           0           0	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
          0           0        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
          0           0          45	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
          0           0        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
          0           0          90	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
          0        22.5           0	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
          0        22.5        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997496  -0.0997504  -0.0997501
          0        22.5          45	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
          0        22.5        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997496  -0.0997504  -0.0997501
          0        22.5          90	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
          0          45           0	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
          0          45        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508  -0.0997514
          0          45          45	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997511  -0.0997501
          0          45        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508  -0.0997514
          0          45          90	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
          0        67.5           0	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
          0        67.5        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997505   -0.099751  -0.0997505
          0        67.5          45	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997514   -0.099751
          0        67.5        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997505   -0.099751  -0.0997505
          0        67.5          90	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
          0          90           0	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
          0          90        22.5	    0.08879     0.08879           0           0           0           0	  -0.099751  -0.0997516   -0.099751
          0          90          45	    0.08879     0.08879           0           0           0           0	 -0.0997514   -0.099752   -0.099751
          0          90        67.5	    0.08879     0.08879           0           0           0           0	  -0.099751  -0.0997517   -0.099751
          0          90          90	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
       22.5           0           0	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
       22.5           0        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
       22.5           0          45	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
       22.5           0        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
       22.5           0          90	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
       22.5        22.5           0	    0.08879     0.08879           0           0           0           0	 -0.0997496  -0.0997504  -0.0997501
       22.5        22.5        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997505   -0.099751  -0.0997505
       22.5        22.5          45	    0.08879     0.08879           0           0           0           0	 -0.0997505   -0.099751   -0.099751
       22.5        22.5        67.5	    0.08879     0.08879           0           0           0           0	  -0.099751  -0.0997507  -0.0997523
       22.5        22.5          90	    0.08879     0.08879           0           0           0           0	 -0.0997496  -0.0997504  -0.0997501
       22.5          45           0	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
       22.5          45        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508  -0.0997514
       22.5          45          45	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997511   -0.099751
       22.5          45        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997511   -0.099751
       22.5          45          90	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997508   -0.099751
       22.5        67.5           0	    0.08879     0.08879           0           0           0           0	 -0.0997496  -0.0997504  -0.0997501
       22.5        67.5        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997496  -0.0997505   -0.099751
       22.5        67.5          45	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997508  -0.0997505
       22.5        67.5        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507   -0.099751
       22.5        67.5          90	    0.08879     0.08879           0           0           0           0	 -0.0997496  -0.0997504  -0.0997501
       22.5          90           0	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
       22.5          90        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997505   -0.099751  -0.0997505
       22.5          90          45	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997514   -0.099751
       22.5          90        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997505   -0.099751  -0.0997505
       22.5          90          90	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
         45           0           0	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
         45           0        22.5	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
         45           0          45	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
         45           0        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997507  -0.0997505
         45           0          90	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
         45        22.5           0	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508  -0.0997514
         45        22.5        22.5	    0.08879     0.08879           0           0           0           0	  -0.099751   -0.099751  -0.0997514
         45        22.5          45	    0.08879     0.08879           0           0           0           0	 -0.0997514  -0.0997516  -0.0997519
         45        22.5        67.5	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508   -0.099751
         45        22.5          90	    0.08879     0.08879           0           0           0           0	 -0.0997505  -0.0997508  -0.0997514
         45          45           0	    0.08879     0.08879           0           0           0           0	 -0.0997501  -0.0997511  -0.0997501
