          0           0           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0           0        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230284   -0.145548
          0           0          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	  -0.081008   -0.023029   -0.145549
          0           0        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810068   -0.023029   -0.145547
          0           0          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0        22.5           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810068  -0.0230286   -0.145548
          0        22.5        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230291   -0.145549
          0        22.5          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230287   -0.145548
          0        22.5        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230285   -0.145548
          0        22.5          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810068  -0.0230286   -0.145548
          0          45           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230287   -0.145549
          0          45        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0          45          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230287   -0.145549
          0          45        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0          45          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230287   -0.145549
          0        67.5           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230287   -0.145548
          0        67.5        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230286   -0.145548
          0        67.5          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230287   -0.145549
          0        67.5        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230284   -0.145548
          0        67.5          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230287   -0.145548
          0          90           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0          90        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0          90          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0          90        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
          0          90          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
       22.5           0           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230284   -0.145548
       22.5           0        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	  -0.081008   -0.023029   -0.145549
       22.5           0          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810068   -0.023029   -0.145547
       22.5           0        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
       22.5           0          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230284   -0.145548
       22.5        22.5           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076   -0.023029   -0.145549
       22.5        22.5        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
       22.5        22.5          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230286   -0.145548
       22.5        22.5        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810085  -0.0230291    -0.14555
       22.5        22.5          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076   -0.023029   -0.145549
       22.5          45           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
       22.5          45        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076   -0.023029   -0.145548
       22.5          45          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230286   -0.145548
       22.5          45        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230291   -0.145548
       22.5          45          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
       22.5        67.5           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076   -0.023029   -0.145548
       22.5        67.5        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076   -0.023029   -0.145549
       22.5        67.5          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	  -0.081008   -0.023029   -0.145549
       22.5        67.5        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145549
       22.5        67.5          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076   -0.023029   -0.145548
       22.5          90           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230284   -0.145548
       22.5          90        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230287   -0.145547
       22.5          90          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076   -0.023029   -0.145548
       22.5          90        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810068  -0.0230281   -0.145548
       22.5          90          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230284   -0.145548
         45           0           0	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	  -0.081008   -0.023029   -0.145549
         45           0        22.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810068   -0.023029   -0.145547
         45           0          45	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810076  -0.0230288   -0.145548
         45           0        67.5	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	 -0.0810072  -0.0230284   -0.145548
         45           0          90	    0.07506     0.04066     0.00128      0.0141      0.0122     0.00683	  -0.081008   -0.023029   -0.145549
